filename,Solve,Parse,Eval,Steps
../smt-lib/AUFLIA/20170829-Rodin/smt5840107616231557204.smt2, 0.014, 7.845, Proofterm: 8.203, 26
../smt-lib/AUFLIA/20170829-Rodin/smt6847139309533112800.smt2, 0.048, 12.310, Proofterm: 6.059, 35
../smt-lib/AUFLIA/20170829-Rodin/smt6216810711515896085.smt2, 0.021, 2.722, Proofterm: 1.675, 9
../smt-lib/AUFLIA/20170829-Rodin/smt5584701865267838950.smt2, 0.040, 5.189, Proofterm: 5.074, 14
../smt-lib/AUFLIA/20170829-Rodin/smt5939188342885389719.smt2, 0.019, 7.522, Proofterm: 6.807, 16
../smt-lib/AUFLIA/20170829-Rodin/smt4773935331339704456.smt2, 0.032, 6.038, Proofterm: 4.340, 18
../smt-lib/AUFLIA/20170829-Rodin/smt1989801626376917853.smt2, 0.034, 2.322, Proofterm: 0.228, 2
../smt-lib/AUFLIA/20170829-Rodin/smt147333226393671.smt2,0.323,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt3636258974930902851.smt2,0.107,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6872909771268366702.smt2, 0.225, 3.027, Proofterm: 0.321, 1
../smt-lib/AUFLIA/20170829-Rodin/smt2859680579468572578.smt2, 0.045, 3.256, Proofterm: 1.485, 10
../smt-lib/AUFLIA/20170829-Rodin/smt5692365801843027532.smt2, 0.136, 4.428, Proofterm: 2.109, 7
../smt-lib/AUFLIA/20170829-Rodin/smt3271149777975346762.smt2, 0.020, 3.439, Proofterm: 1.131, 8
../smt-lib/AUFLIA/20170829-Rodin/smt7576721122685599457.smt2, 0.119, 4.764, Proofterm: 4.841, 14
../smt-lib/AUFLIA/20170829-Rodin/smt2255324810886492116.smt2, 0.065, 4.917, Proofterm: 5.841, 21
../smt-lib/AUFLIA/20170829-Rodin/smt2201382419316796617.smt2, 0.043, 3.191, Proofterm: 2.697, 6
../smt-lib/AUFLIA/20170829-Rodin/smt2112533823728193690.smt2, 0.027, 3.823, Proofterm: 3.313, 6
../smt-lib/AUFLIA/20170829-Rodin/smt494732638191209483.smt2, 0.485, 5.709, Proofterm: 7.690, 20
../smt-lib/AUFLIA/20170829-Rodin/smt3206214362853921959.smt2, 0.058, 2.562, Proofterm: 0.532, 3
../smt-lib/AUFLIA/20170829-Rodin/smt2630468115672576799.smt2, 0.247, 5.589, Proofterm: 8.394, 20
../smt-lib/AUFLIA/20170829-Rodin/smt1791517494366412757.smt2, 0.424, 3.485, Proofterm: 1.400, 9
../smt-lib/AUFLIA/20170829-Rodin/smt4260595031139176708.smt2, 0.187, 2.394, Proofterm: 0.679, 1
../smt-lib/AUFLIA/20170829-Rodin/smt9004540360775044774.smt2, 0.055, 2.134, Proofterm: 0.033, 
../smt-lib/AUFLIA/20170829-Rodin/smt959378924819336699.smt2, 0.028, 10.552, Proofterm: 5.164, 27
