filename,Solve,Parse,Eval,Steps
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_resistance.1.prop2_ab_reg_max.smt2,0.092,0.986,Eval: 2.795.,54
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lifts.4.prop1_ab_reg_max.smt2,1.193,8.462,Eval: 1.164.,1582
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.5.prop3_ab_reg_max.smt2,0.100,0.977,Eval: 1.321.,69
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_itc99_b12_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_at.1.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.7.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_reader_writer.3.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_needham.3.prop2_ab_reg_max.smt2,0.168,0.671,Eval: 1.293.,37
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lifts.7.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_plc.1.prop2_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sw_ball2004_2_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.7.prop2_ab_reg_max.smt2,0.914,7.340,Eval: 1.167.,611
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_szymanski.2.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_rether.3.prop1_ab_reg_max.smt2,0.181,0.565,Eval: 1.503.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_at.2.prop1_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_adding.6.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_peg_solitaire.4.prop1_ab_br_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_leader_filters.5.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_h_Vlunc_ab_cti_max.smt2,0.268,6.291,Eval: 2.292.,599
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_elevator.2.prop1_ab_reg_max.smt2,0.131,0.554,Eval: 1.363.,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.1.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cyclic_scheduler.1.prop1_ab_reg_max.smt2,0.209,0.770,Eval: 0.984.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_protocols.5.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_mcs.2.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_telephony.8.prop1_ab_reg_max.smt2,0.205,0.741,Eval: 1.021.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_v_DAIO_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.3.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_anderson.2.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_protocols.3.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_iprotocol.3.prop1_ab_reg_max.smt2,0.174,0.737,Eval: 1.783.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.3.prop1_ab_fp_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_collision.2.prop1_ab_reg_max.smt2,0.138,0.725,Eval: 1.070.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sw_sym_ex_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_h_b03_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_diagonal_v_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.5.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_schedule_world.2.prop1_ab_br_max.smt2,0.593,7.442,Eval: 1.659.,879
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_train-gate.3.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_eq_sdp_v6_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.6.prop2_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_reader_writer.2.prop1_ab_reg_max.smt2,0.167,0.691,Eval: 1.044.,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_loyd.3.prop1_ab_br_max.smt2,0.738,8.812,Eval: 2.496.,2921
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_needham.2.prop4_ab_reg_max.smt2,0.225,0.620,Eval: 1.020.,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_szymanski.3.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.1.prop3_ab_reg_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.1.prop1_ab_cti_max.smt2,sat,,,
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_protocols.2.prop1_ab_cti_max.smt2,sat,,,
